благостныхъ свершеній    завершенѣ дѣлъ и малое привнесенѣ функцій всѣгъ бѣгитовоъ
лелеянья и блаже желаю  лелеять в себе парные члены и новые функції
гобины, высокой судьбы    возвратъ къ своимъ мѣрамъ, синхронихація с синтетич функціями кишечника
удачи и матеріализації       проявленѣ
радасти   жизненость преображенѣ метаморфозы
славы и почёта  кристализація, окамѣменѣ, отверденѣ
терпенія и исполнения желаний   вседостигаемость
вѣчности всеобщая судьба и всепостигаемость
воли и твёрдости простраивать духовоные пути
береженія        стяжанѣ помощи 1-10
мира      управленѣ всѣми стихіями
благости и танхи  стяжанѣ потока бѣгита
привѣд, праведности       управленѣ молніями
магущества       управленѣ семлёй и вызовъ духа семли
процвѣтанія и мастерства  передача мастерства
святости        управленѣ духами
всего хорошего     кулинарія
лада и согласія    управленѣ мїромъ
здравія  управленѣ эфирами
мудрости омоложенѣ
счастья  огонь и огнеочистка
величія и всѣхъ благ     перстоуказанѣ
успѣхово плодоношенѣ рожденѣ
прощеванія       вада, напитка отъ цикловъ времени
мая, ража жела и всего доброго

1	свершения
2	лелеленье и блаже желаю
3	божественной высокой судьбы гобино
4	удачи и материализации
5	радости
6	славы и почета
7	терпения и исполнения желаний
8	вечности
9	воли и твердости
10	бережения
11	мира
12	благости и танхи
13	праведности
14	могущества
15	мастерства и процветания
16	святости
17	всего хорошего
18	лада и согласия
19	здравия
20	мудрости
21	счастья
22	величия и всех благ
23	успехов
24	прощевания двустороннего
25	раже желаю бессмертія
40	совершества
51	созиданія
76	тварчества
84	преображенія
93	гармонії

